자치구명,위치,Latitude,Longitude
중구,서울특별시 중구 명보극장 사거리,37.5646936,126.9931903
중구,서울특별시 중구 무교동 기업은행 앞,37.5675795,126.979552
중구,서울특별시 중구 명동 국민은행 앞 버스정류장,37.564518,126.982524
중구,서울특별시 중구 청계천 광교 앞,37.5688235,126.9827408
중구,서울특별시 중구 세종대로 파이낸스 빌딩 앞,37.568369,126.97779
중구,서울특별시 중구 태평로프레스 센타 앞,37.5673811,126.977859
중구,서울특별시 중구 을지로입구역 8번 출구,37.566065,126.982679
중구,서울특별시 중구 을지로입구 하나은행 앞,37.5664524,126.9818516
중구,서울특별시 중구 명동 우리은행 앞,37.5636741,126.9847304
중구,서울특별시 중구 광동교 앞,37.5679423,126.9811744
중구,서울특별시 중구 예금보험공사 본사 앞,37.5685087,126.9807429
중구,서울특별시 중구 명동역 2번출구 (환풍기 옆),37.5609892,126.9861868
중구,서울특별시 중구 명동역 6번출구 앞,37.5609892,126.9861868
중구,서울특별시 중구 명동입구 관광경찰초소,37.5635676,126.9822144
중구,"서울특별시 중구 중구청앞, 덕수중학교 버스정류장",37.564832,126.998174
중구,서울특별시 중구 퇴계로5가 베이튼호텔 버스정류장,,
중구,서울특별시 중구 명동 신한은행 앞,37.5614189,126.9856893
중구,서울특별시 중구 명동 꽃길사거리,37.5644361,126.9886243
중구,서울특별시 중구 명동 성당 앞,37.5645075,126.9880797
중구,서울특별시 중구 명동 CGV앞 사거리,37.5633883,126.9828889
중구,서울특별시 중구 충무파출소 앞,37.5608691,126.9915517
중구,서울특별시 중구 평화방송 앞 버스환승센터,37.5552915,126.9726675
중구,서울특별시 중구 남대문세무서 앞 버스환승센터,37.5552915,126.9726675
중구,서울특별시 중구 명동 해지스 앞,37.5615911,126.9865244
중구,서울특별시 중구 하나은행 후문쉼터 앞,37.5655,126.9848044
중구,서울특별시 중구 명동역 9번출구 앞,37.5609892,126.9861868
중구,서울특별시 중구 퇴계로 3가 파파이스 앞,37.5611191,126.9948014
중구,서울특별시 중구 퇴계로 충무로역 8번출구,37.561925,126.996459
중구,서울특별시 중구 충무로역 7번출구 매일경제 앞,37.5617869,126.9928932
중구,서울특별시 중구 중구청 우리은행 앞,37.5640798,126.9980059
중구,서울특별시 중구 중구청 사거리 중부시장 쪽,37.5650076,127.0018499
중구,서울특별시 중구 을지로4가역 10번출구 버스정류장,,
중구,서울특별시 중구 을지로3가역 7번출구 앞,37.566288,126.991051
중구,서울특별시 중구 을지로3가역 3번출구 앞,37.566288,126.991051
중구,서울특별시 중구 청계2가 삼일교 앞,37.568105,126.9878465
중구,서울특별시 중구 청계천 모전교 사거리,37.569051,126.979262
중구,서울특별시 중구 청계3가 관수교 앞,37.568661,126.99381
중구,서울특별시 중구 청계천 모전교 옆,37.569051,126.979262
중구,서울특별시 중구 을지로4가 대림상가 앞,37.5664796,126.9957456
중구,서울특별시 중구 을지로3가 11번출구,37.5661262,126.9916862
중구,서울특별시 중구 을지로4가 로터리 농협 앞,37.5664649,126.9978028
중구,서울특별시 중구 을지로6가 훈련원공원 입구,37.5673407,127.0037725
중구,서울특별시 중구 국립의료원 버스정류장 앞,37.5672412,127.0056589
중구,서울특별시 중구 국립의료원 건너편 버스정류장,37.5672412,127.0056589
중구,서울특별시 중구 을지로6가 굿모닝시티 옆 롯데리아,37.5668311,127.0075414
중구,서울특별시 중구 동대문역사문화공원역 8번 출구,37.565682,127.008953
중구,서울특별시 중구 동대문역사문화공원역 5번출구,37.565682,127.008953
중구,서울특별시 중구 퇴계로5가사거리 CJ빌딩 앞,37.554564,126.9759423
중구,서울특별시 중구 퇴계로6가 쌍림빌딩 옆 버스정류장,37.560893,126.984328
중구,서울특별시 중구 장충동사거리 태극당 앞 녹지대,37.5599896,127.0051505
중구,서울특별시 중구 동대입구역 6번출구(파출소),37.5652296,127.0133632
중구,서울특별시 중구 을지로3가 12번출구,37.566288,126.991051
중구,서울특별시 중구 중앙애견미용학원 앞,37.561614,126.9950156
중구,서울특별시 중구 퇴계로5가 버스정류장,37.562647,126.9998
중구,서울특별시 중구 퇴계로5가사거리 영수빌딩 앞 횡단보도,37.562647,126.9998
중구,서울특별시 중구 을지로5가사거리 CU편의점 앞,37.566563,127.0018839
중구,서울특별시 중구 퇴계로 235(자이아파트),37.5624966,126.9978276
중구,서울특별시 중구 약수역 3번 출구,37.555888,127.011412
중구,서울특별시 중구 청구역 3번 출구,37.555888,127.011412
중구,서울특별시 중구 신당역 6번출구,37.5610797,127.0393956
중구,서울특별시 중구 신당역 10번출구 앞,37.5651185,127.0187323
중구,서울특별시 중구 신당역 11번출구 앞,37.5651185,127.0187323
중구,서울특별시 중구 신당역 12번 출구 앞,37.5622283,127.0245394
중구,서울특별시 중구 성동공고 버스정류장,37.568704,127.01611
중구,서울특별시 중구 성동공고 건너편 버스정류장,37.5684519,127.0172156
중구,서울특별시 중구 한양공고사거리 CU앞,37.5653699,127.0118163
중구,서울특별시 중구 동대문역사문화공원역 1번출구 건너편 정류장,37.565682,127.008953
중구,서울특별시 중구 신당역 8번 출구 앞,37.5575999,127.0204324
중구,서울특별시 중구 신당역 9번 출구 앞,37.5575622,127.0203412
중구,서울특별시 중구 신당동 종점떡볶이 앞 버스정류장,37.559973,127.018296
중구,서울특별시 중구 광희동로터리 횡단보도,37.57558,127.02271
중구,서울특별시 중구 청구역 국민은행 앞,37.5601473,127.0134385
중구,서울특별시 중구 국립극장 앞 버스정류장,37.551376,127.000946
중구,"서울특별시 중구 장충동, 동국대입구 버스정류장",37.558126,127.005316
중구,서울특별시 중구 약수역 6번출구 앞,37.5543839,127.0103565
중구,서울특별시 중구 약수역 9번 출구,37.5562918,127.009752
중구,서울특별시 중구 버티고개 남산타운입구 버스정류장,37.548111,127.00714
중구,서울특별시 중구 중앙시장 정문 건너편 버스정류장,37.565542,127.019446
중구,서울특별시 중구 DDP 버스정류장 앞,37.567762,127.009133
중구,서울특별시 중구 DDP 건너편 버스정류장,37.567762,127.009133
중구,"서울특별시 중구 광희문, 광희동사거리 버스정류장",37.564375,127.009149
중구,서울특별시 중구 중부소방서 앞 버스정류장,37.564832,126.998174
중구,서울특별시 중구 다산로 223,37.5631033,127.0152125
중구,서울특별시 중구 동호로 194 약수역 1번출구,37.5535768,127.011036
중구,서울특별시 중구 약수역 1번출구 버스정류장,37.5562918,127.009752
중구,서울특별시 중구 약수역 10번출구,37.556437,127.009118
중구,서울특별시 중구 약수역 10번출구 버스정류장,37.556437,127.009118
중구,서울특별시 중구 장충체육관 건너편 버스정류장,37.558092,127.007749
중구,서울특별시 중구 광희문 버스정류장,37.564375,127.009149
중구,서울특별시 중구 충무아트센터 버스정류장,37.565042,127.014506
중구,서울특별시 중구 신당동 피쉬고고앞 버스정류장,37.559973,127.018296
중구,서울특별시 중구 신당5동 버스정류장,37.565253,127.0137885
중구,서울특별시 중구 장충동 버스정류장,37.558126,127.005316
중구,서울특별시 중구 송도병원 건너편 버스정류장,37.551103,127.008214
중구,서울특별시 중구 약수역 8번출구 버스정류장,37.553939,127.009978
중구,서울특별시 중구 송도병원 앞 버스정류장,37.550061,127.007369
중구,서울특별시 중구 청구역 1번출구 앞,37.5591145,127.0131005
중구,서울특별시 중구 황학동 롯데캐슬,37.5712191,127.0213001
중구,서울특별시 중구 퇴계로 4가 LG스퀘어 앞,37.5609724,126.9945971
중구,서울특별시 중구 성동고등학교 버스정류장,37.565252,127.022506
중구,서울특별시 중구 성동고등학교 건너편버스정류장,37.5407766,127.0111186
중구,서울특별시 중구 동화면세점 앞(2) 세종로파출소,37.5688956,126.9764418
중구,서울특별시 중구 시청역1번출구 앞,37.5657037,126.9768616
