고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
서울 강서구 가양동 56-2,37.56639755,126.8448294,강서구,가양오토갤러리 주변,불법주정차구역
등촌동 639-23,37.55763381,126.8560492,강서구,홈플러스강서점뒷편주변,불법주정차구역
염창동 280-17,37.54801667,126.8705355,강서구,서울중앙혈액원 주변,불법주정차구역
서울 강서구 마곡동 734,37.5674397,126.8189913,강서구,신방화역 4번 출구 주변,불법주정차구역
서울 강서구 마곡동 797-15,37.55971847,126.837795,강서구,힐스테이트에코 주변,불법주정차구역
서울 강서구 마곡동 808,37.55740165,126.8352578,강서구,이대서울병원정문 주변,불법주정차구역
서울 강서구 마곡동 743-5,37.56267424,126.8209949,강서구,공항초교 주변,불법주정차구역
서울 강서구 마곡동 749-2,37.55826984,126.823467,강서구,공진초교 주변,불법주정차구역
서울 강서구 마곡동 771-4,37.56064944,126.8302693,강서구,이너매스마곡1 주변,불법주정차구역
서울 강서구 마곡동 812,37.56852673,126.8352842,강서구,서울식물원 주변,불법주정차구역
서울 강서구 마곡동 781-13,37.56531749,126.8373046,강서구,트라이콤텍 사거리 주변,불법주정차구역
서울 강서구 마곡동 781,37.56746461,126.8376678,강서구,크레스라이트연구소 주변,불법주정차구역
서울 강서구 마곡동 787-4,37.56367394,126.8362301,강서구,에스오일센터 주변,불법주정차구역
서울 강서구 마곡동 800-14,37.55835165,126.8332595,강서구,의약품수출입협회주변,불법주정차구역
마곡동 728-62,37.55521292,126.8325422,강서구,명덕외고후문주변,불법주정차구역
서울 강서구 마곡동 808,37.55675974,126.836913,강서구,이대병원후문응급센타주변,불법주정차구역
서울 강서구 내발산동 753,37.54997638,126.8236111,강서구,수명산4단지 사거리 주변,불법주정차구역
서울 강서구 마곡동 798,37.55926357,126.8237193,강서구,홈앤쇼핑 주차장 주변,불법주정차구역
서울 강서구 방화동 614-60,37.56511039,126.8116369,강서구,SK방화주유소 주변,불법주정차구역
서울 강서구 등촌동 687,37.56603248,126.8429993,강서구,등촌주공1.2단지 상가 주변,불법주정차구역
서울 강서구 염창동 290,37.55736843,126.865964,강서구,벽산늘푸른아파트 삼거리 주변,불법주정차구역
서울 강서구 마곡동 727-1496,37.55922045,126.8376291,강서구,발산역1번출구 공원 주변,불법주정차구역
서울 강서구 염창동 289,37.55528733,126.8681491,강서구,신동아아파트 사거리 주변,불법주정차구역
서울 강서구 공항동 22-16,37.56267121,126.810398,강서구,송정초교 정문 주변,불법주정차구역
서울 강서구 방화동 886,37.56588005,126.801588,강서구,국제선1층 1번게이트 주변,불법주정차구역
서울 강서구 방화동 197-1,37.57152427,126.8224905,강서구,마곡삼성아파트 주변,불법주정차구역
서울 강서구 등촌동 366-10,37.54938193,126.8608519,강서구,태진아름아파트 주변,불법주정차구역
서울 강서구 공항동 60-28,37.55884897,126.8105379,강서구,공항동주민센터 주변,불법주정차구역
서울 강서구 가양동 1484,37.56158707,126.8599125,강서구,가양초등학교 주변,불법주정차구역
서울 강서구 화곡동 451-23,37.53339186,126.8519266,강서구,신정초교 후문 주변,불법주정차구역
서울 강서구 방화동 286-25,37.57346346,126.8164693,강서구,신방화사거리 주변,불법주정차구역
서울 강서구 등촌동 635-4,37.55467618,126.8616145,강서구,백석초등학교 주변,불법주정차구역
서울 강서구 방화동 563-25,37.57203876,126.8114638,강서구,방신전통시장 주변,불법주정차구역
서울 강서구 화곡동 59-9,37.54271737,126.8467625,강서구,화곡초등학교 주변,불법주정차구역
서울 강서구 공항동 1373,37.558847,126.8038165,강서구,국내선2층 4번게이트 주변,불법주정차구역
서울 강서구 화곡동 359-59,37.53242468,126.8392146,강서구,새마을금고 주변,불법주정차구역
서울 강서구 등촌동 647,37.55366722,126.8636846,강서구,심미에셈빌 주변,불법주정차구역
서울 강서구 마곡동 738,37.56948556,126.8253705,강서구,마곡엠벨리4단지 정문 주변,불법주정차구역
서울 강서구 내발산동 742,37.55341896,126.83028,강서구,수명산파크1단지 주변,불법주정차구역
서울 강서구 공항동 22-30,37.56364926,126.8106898,강서구,공항시장역 주변,불법주정차구역
서울 강서구 염창동 95-10,37.55152614,126.8726853,강서구,염동초등학교 주변,불법주정차구역
서울 강서구 등촌동 519-25,37.54715735,126.859699,강서구,등촌초등학교 주변,불법주정차구역
