위치,자치구명,공원명,미세먼지(㎍/㎥),배출량(C),재활용,cluster
서울특별시 강서구 방화중학교16-164,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청 가양동별관,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 등촌로 213 칼텍스주유소 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡동유림아파트(16-189),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 염창동한마음.관음삼성아파트(16-249),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡동백구사(16-193),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화곡동남부시장버스정류장(16-180),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서한방병원버스정류장(16-328),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 나누리병원 16-200,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청 본관 뒤편 공원,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청16-140,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 KBS스포츠월드 버스정류장(16-009),강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 화곡동유림아파트버스정류장(16-188),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천로 마곡배드민턴장 버스정류장,강서구,0,38,2949.5,2213.8,0
"서울특별시 강서구 염창동아3차,나이아가라호텔16-245",강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡역(중)(16-019),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 목동사거리버스정류장(16-178),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가로공원로 237 화곡터널입구교차로 횡단보도,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 도레미빌딩앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천로 서남물재생센터 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡엠밸리 15단지 버스정류장(16-428),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서세무서.공항초교(16-622),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡동로 62 마곡사이언스타워 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 송정초등학교 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공항동천주교회 버스정류장(16-161),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양역9번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 허준로 234 도시개발9단지아파트 버스정류장,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 가양역 우성아파트 버스정류장(16-259),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 발산역(중)(16-017),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 금낭화로 135 방화역 3번출구 택시정류장,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 공항동천주교회 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 화원중학교버스정류장(16-202),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 관음삼성아파트 버스정류장(16-250),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 발산역16-112,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공항중학교.공항초등학교(중)(16-020),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서한강자이아파트 버스정류장(16-266),강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 허준로 76 한보구암마을아파트 버스정류장,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 공항시장16-119,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 명덕고등학교16-916,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천로 112 신방화사거리 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡중앙로 33 마곡엠밸리14단지 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공항중학교.공항초등학교(중)(16-016),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡나루역1번출구 버스정류장(16-399),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡수명산파크3단지 버스정류장(16-879),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 우장산역 1번출구16-213,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 제일성심병원16-361,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 송정역1번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청 본관 공원,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 외발산광명마을 버스정류장(16-152),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 우장초등학교16-142,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서면허시험장 버스정류장(16-849),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 발산역9번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서구청16-139,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡역(16-397),강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 가양동CJ주식회사16-267,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가로공원로 215 가로공원공영주차장 횡단보도,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 서울신정초등학교(16-183),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 허준로 175 도시개발6단지아파트 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천로27길 서광아파트 버스정류장,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 월정로 176 월정초등학교 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 상사마을입구 버스정류장(16-172),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 서울신정초등학교버스정류장(16-182),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공항삼거리 횡단보도,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡수명산파크5단지6단지 정류장(16-417),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 겸재정선기념관16-272,강서구,1,38,2949.5,2213.8,2
"서울특별시 강서구 마곡동로 마곡일반산업단지 D30-1,2",강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡엠밸리7단지.712동 버스정류장(16-702),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서로 134 건널목,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 월정로 134 황외과 앞 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 아이파크아파트.백석중학교 버스정류장(16-174),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 개화역입구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 CJ주식회사 버스정류장(16-268),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 대림경동아파트16-235,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 마곡엠벨리4단지(16-705),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 공항중학교 버스정류장(16-308),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 영일고등학교.강서도서관 버스정류장(16-173),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 강서공고 버스정류장(16-303),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 KT가양지사16-224,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 신방화역 4번 출구 토마토 김밥집 앞,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 마곡엠밸리6.7단지.마곡중학교(16-395),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 방화대로 외발산사거리 횡단보도,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 등촌2동주민센터 버스정류장(16-175),강서구,0,38,2949.5,2213.8,0
