공원명,공원주소,관리부서,시도,위치,자치구명,자치구명 (자치구별 데이터.Csv),지역,1인당 배출량,Latitude,Longitude,X좌표(Wgs84),Y좌표(Wgs84),가로쓰레기통 개수,공원 개수,기간,기타,매립,면적,면적 (자치구별 데이터.Csv),면적당 배출량,미세먼지(㎍/㎥),배출량(C),소각,아황산가스(Ppm),오존(Ppm),이산화질소(Ppm),인구,일산화탄소(Ppm),재활용,초미세먼지(㎍/㎥)
자매근린공원,서울특별시 영등포구 의사당대로 166 (우) 07324,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 롯데캐슬 아이비 맞은편,영등포구,영등포구,영등포구,0.006374537,37.519986,126.9319866,126.9302895,37.5177329,183,5,2020,6.6,63.7,16500,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
초안산생태공원,서울특별시 도봉구 창동 산24,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 중흥S클래스아파트 앞,도봉구,도봉구,도봉구,0.002400851,37.6479704,127.038989,127.0405382,37.6479483,235,6,2020,42.8,60.4,22113,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
초안산생태공원,서울특별시 도봉구 창동 산24,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 쌍문역 2번출구,도봉구,도봉구,도봉구,0.002400851,37.6470981,127.0374389,127.0405382,37.6479483,235,6,2020,42.8,60.4,22113,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
영등포근린공원,서울특별시 영등포구 신길로 275,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 gs편의점 앞,영등포구,영등포구,영등포구,0.006374537,37.5167618,126.9070612,126.910662,37.515423,183,5,2020,6.6,63.7,61544,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
서울창포원,서울특별시 도봉구 마들로 916(서울창포원),중부공원녹지사업소 서울창포원,서울특별시,서울특별시 도봉구 도봉산역 1번출구,도봉구,도봉구,도봉구,0.002400851,37.689596,127.0461945,127.047938,37.689585,235,6,2020,42.8,60.4,51470,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
서울창포원,서울특별시 도봉구 마들로 916(서울창포원),중부공원녹지사업소 서울창포원,서울특별시,서울특별시 도봉구 도봉산역 1번출구 맞은편,도봉구,도봉구,도봉구,0.002400851,37.689596,127.0461945,127.047938,37.689585,235,6,2020,42.8,60.4,51470,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
서울창포원,서울특별시 도봉구 마들로 916(서울창포원),중부공원녹지사업소 서울창포원,서울특별시,서울특별시 도봉구 도봉산역 2번출구,도봉구,도봉구,도봉구,0.002400851,37.6897858,127.0459546,127.047938,37.689585,235,6,2020,42.8,60.4,51470,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
영등포근린공원,서울특별시 영등포구 신길로 275,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 영등포역 버스중앙차로(19-006),영등포구,영등포구,영등포구,0.006374537,37.5154133,126.9071288,126.910662,37.515423,183,5,2020,6.6,63.7,61544,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
서울창포원,서울특별시 도봉구 마들로 916(서울창포원),중부공원녹지사업소 서울창포원,서울특별시,서울특별시 도봉구 도봉산역 3번출구,도봉구,도봉구,도봉구,0.002400851,37.689596,127.0461945,127.047938,37.689585,235,6,2020,42.8,60.4,51470,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
서울창포원,서울특별시 도봉구 마들로 916(서울창포원),중부공원녹지사업소 서울창포원,서울특별시,서울특별시 도봉구 서울LPG충전소,도봉구,도봉구,도봉구,0.002400851,37.6922788,127.0443886,127.047938,37.689585,235,6,2020,42.8,60.4,51470,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
