위치,자치구명,공원명,미세먼지(㎍/㎥),배출량(C),재활용
서울특별시 영등포구 씨티은행 앞,영등포구,0,34,2556.1,2377.5
서울특별시 마포구 와우산로 121 건물 앞,마포구,0,34,1979.4,1753.4
서울특별시 금천구 남부순환로 1426,금천구,0,35,1936.9,1798.5
서울특별시 강동구 명일로26길20 (길동413-45 내고향 앞),강동구,0,37,4555.5,4356.1
서울특별시 용산구 녹사평역 1번출구앞 버스정류장(03-524),용산구,0,36,1140.8,1009.6
서울특별시 강남구 청담역1번출구,강남구,1,32,3718,3059.5
서울특별시 용산구 아파치큰옷전문점앞,용산구,0,36,1140.8,1009.6
서울특별시 마포구 고산2길 61 '노고산체육공원',마포구,0,34,1979.4,1753.4
서울특별시 강남구 현대아파트 211동,강남구,0,32,3718,3059.5
서울특별시 동작구 우리은행 앞 버스중앙차로(20-009),동작구,0,40,1514.3,1410.9
서울특별시 송파구 배명고등학교 야구장,송파구,0,34,2353.1,2041.2
서울특별시 성동구 하왕십리동700,성동구,0,34,2181.2,1442.1
서울특별시 송파구 몽촌토성역 2번 출구,송파구,0,34,2353.1,2041.2
서울특별시 동작구 상도동 LG전자앞,동작구,0,40,1514.3,1410.9
서울특별시 송파구 잠실동 196 앞 버스정류소 주변,송파구,0,34,2353.1,2041.2
서울특별시 성동구 마장동388-2,성동구,0,34,2181.2,1442.1
서울특별시 영등포구 청과시장사거리 김안과쪽,영등포구,0,34,2556.1,2377.5
서울특별시 강동구 천호대로1033 (천호동453-15 IBK기업은행 앞),강동구,0,37,4555.5,4356.1
서울특별시 관악구 서울대입구역 6번 출구,관악구,0,35,1666.5,1533.2
서울특별시 서대문구 홍은2동 연희로265(13158),서대문구,1,32,1604.9,1490.7
서울특별시 강북구 강북구 삼각산로 16,강북구,0,32,851,772.1
서울특별시 양천구 원불교 사잇길,양천구,0,39,1107.7,923.9
서울특별시 강동구 양재대로1369 (둔촌동416 둔촌역2번출구 뒤),강동구,0,37,4555.5,4356.1
서울특별시 중구 을지로6가 굿모닝시티 옆 롯데리아,중구,1,36,1468.2,1268
서울특별시 성북구 안암동5가100-9(인촌로95)안암역2번출구,성북구,0,34,1354.6,1247.6
서울특별시 중구 시청역 11번출구 앞,중구,0,36,1468.2,1268
서울특별시 송파구 방이동 183-3 버스정류장 주변,송파구,0,34,2353.1,2041.2
서울특별시 양천구 신월5동 구동사무소 앞,양천구,0,39,1107.7,923.9
서울특별시 강남구 포스코주택전시관,강남구,0,32,3718,3059.5
서울특별시 송파구 문정동 374,송파구,0,34,2353.1,2041.2
서울특별시 용산구 이태원랜드앞,용산구,0,36,1140.8,1009.6
서울특별시 마포구 홍익로18 국민은행 앞,마포구,0,34,1979.4,1753.4
서울특별시 은평구 은평터널로 144 티 월드 앞,은평구,1,38,2311.2,2146.4
서울특별시 도봉구 청한빌라 정문앞 버스정류장,도봉구,0,35,805.8,624.4
서울특별시 마포구 마포역 2번출구,마포구,0,34,1979.4,1753.4
서울특별시 마포구 양화로18길3 세븐스프링스 앞(홍대입구역 8번출구)2,마포구,0,34,1979.4,1753.4
서울특별시 강동구 천호대로1027 (천호동454-15 신한은행 옆),강동구,1,37,4555.5,4356.1
서울특별시 동작구 상도역 5번출구 위,동작구,0,40,1514.3,1410.9
서울특별시 성북구 석계역 음식문화거리 입구(석관1치안센터 옆) 한천로 578,성북구,0,34,1354.6,1247.6
서울특별시 강동구 천호대로1078 (성내동164-1 OK부동산중개소 앞),강동구,0,37,4555.5,4356.1
서울특별시 강북구 삼양로543 앞 버스정류장,강북구,0,32,851,772.1
서울특별시 양천구 대일고등학교 건너 버스정류장,양천구,0,39,1107.7,923.9
서울특별시 중랑구 KT중랑지사(07-148),중랑구,0,33,1585.9,1461.3
서울특별시 강남구 신사역6번 출구,강남구,0,32,3718,3059.5
서울특별시 동작구 신대방역 정류장(ID:20-208),동작구,0,40,1514.3,1410.9
서울특별시 강서구 허준로 47 가양2단지성지아파트 버스정류장,강서구,0,38,2949.5,2213.8
서울특별시 은평구 연서로 277-1 은하부동산 앞,은평구,2,38,2311.2,2146.4
서울특별시 서초구 신반포역 1번 출구 앞,서초구,0,39,3801.7,3566.8
서울특별시 강남구 스타벅스커피,강남구,0,32,3718,3059.5
서울특별시 강남구 선릉역10번 출구,강남구,0,32,3718,3059.5
서울특별시 성북구 삼선동5가 411-4 성북구청앞 바람마당,성북구,0,34,1354.6,1247.6
서울특별시 송파구 위례신도시 22단지 버스정류장 주변,송파구,0,34,2353.1,2041.2
서울특별시 광진구 중곡동입구 버스정류장(상행),광진구,0,33,1379.4,1290.4
서울특별시 광진구 광진광장,광진구,0,33,1379.4,1290.4
서울특별시 성동구 성동구 도선동 256-1,성동구,0,34,2181.2,1442.1
서울특별시 금천구 벚꽃로 91(금천구청 역),금천구,0,35,1936.9,1798.5
서울특별시 강남구 현대아파트 101동,강남구,1,32,3718,3059.5
서울특별시 성동구 성동구 금호동 4가 340,성동구,1,34,2181.2,1442.1
서울특별시 마포구 신촌역 5번출구,마포구,0,34,1979.4,1753.4
서울특별시 강동구 상일초등학교(1477)앞,강동구,0,37,4555.5,4356.1
서울특별시 성북구 동소문로 248 상가지역,성북구,0,34,1354.6,1247.6
서울특별시 용산구 (구)용산구청앞 사거리 (우리은행) 횡단보도,용산구,0,36,1140.8,1009.6
서울특별시 은평구 불광역 3번출구,은평구,0,38,2311.2,2146.4
서울특별시 영등포구 여의도중학교 뒤 버스정류장(19-141),영등포구,0,34,2556.1,2377.5
서울특별시 양천구 신월6동 국도택시앞 버스정류장,양천구,1,39,1107.7,923.9
서울특별시 강남구 도시빌딩,강남구,0,32,3718,3059.5
서울특별시 노원구 공릉역,노원구,0,36,1591.5,1366.8
서울특별시 성동구 410,성동구,0,34,2181.2,1442.1
서울특별시 강북구 인수봉로198,강북구,0,32,851,772.1
서울특별시 서초구 남부순환로 2383 앞 버스정류장,서초구,0,39,3801.7,3566.8
서울특별시 강동구 성내로18 (성내동552-2 ZEN매장 앞),강동구,0,37,4555.5,4356.1
서울특별시 도봉구 쌍문3동 대우아파트 옆,도봉구,1,35,805.8,624.4
서울특별시 양천구 신월3동 양원초교앞 정류장,양천구,0,39,1107.7,923.9
서울특별시 중구 신당역 10번출구 앞,중구,0,36,1468.2,1268
서울특별시 강서구 화곡동대림아파트(16-195),강서구,0,38,2949.5,2213.8
서울특별시 성동구 성동구 행당동 347,성동구,0,34,2181.2,1442.1
서울특별시 강북구 한천로1016 버스정류장,강북구,0,32,851,772.1
서울특별시 서대문구 연세로 14-1,서대문구,0,32,1604.9,1490.7
서울특별시 중구 을지로3가 11번출구,중구,0,36,1468.2,1268
서울특별시 송파구 개롱역 4번 출구 주변,송파구,1,34,2353.1,2041.2
서울특별시 관악구 난곡로 349-1,관악구,0,35,1666.5,1533.2
서울특별시 강남구 개포동 1246-2,강남구,0,32,3718,3059.5
서울특별시 동작구 동작05버스정류장(ID:20-927),동작구,0,40,1514.3,1410.9
서울특별시 동작구 서울토량진우체국앞 중앙차로(20-014),동작구,1,40,1514.3,1410.9
서울특별시 구로구 남부순환로1275,구로구,0,37,1333.4,1111.4
서울특별시 강남구 은마아파트 1동앞,강남구,0,32,3718,3059.5
